iter	Passed	Remaining
293	803	1928
294	805	1924
295	807	1921
296	809	1917
297	812	1913
298	814	1909
299	817	1906
300	818	1900
301	820	1896
302	822	1892
303	824	1888
304	826	1884
305	829	1881
306	832	1878
307	834	1874
308	836	1871
309	838	1867
310	841	1863
311	843	1859
312	846	1857
313	848	1853
314	850	1849
315	852	1845
316	854	1841
317	856	1837
318	859	1833
319	861	1830
320	863	1827
321	866	1823
322	868	1819
323	870	1816
324	872	1812
325	874	1808
326	877	1805
327	879	1801
328	881	1797
329	883	1793
330	885	1789
331	887	1786
332	889	1782
333	892	1778
334	894	1776
335	896	1772
336	898	1768
337	901	1764
338	903	1761
339	905	1757
340	907	1754
341	910	1751
342	913	1748
343	915	1745
344	917	1741
345	919	1738
346	921	1734
347	924	1731
348	926	1727
349	928	1724
350	930	1720
351	932	1716
352	934	1713
353	936	1709
354	939	1706
355	942	1705
356	945	1702
357	947	1698
358	949	1694
359	951	1691
360	953	1688
361	956	1685
362	959	1682
363	961	1679
364	963	1676
365	965	1672
366	967	1669
367	970	1666
368	972	1663
369	975	1660
370	977	1657
371	979	1653
372	981	1650
373	983	1646
374	986	1643
375	988	1640
376	990	1637
377	993	1634
378	995	1631
379	997	1628
380	1000	1624
381	1002	1621
382	1004	1618
383	1007	1616
384	1010	1614
385	1014	1613
386	1016	1610
387	1020	1609
388	1026	1612
389	1030	1611
390	1033	1609
391	1037	1609
392	1042	1610
393	1046	1609
394	1048	1606
395	1051	1603
