,Unnamed: 0,ticker,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5,resultado
729,729,BALM3_2023,1.96,29.56,0.73,4.45,5.5,0.59,0.43,0.91,1.47,3.22,3.98,0.37,15.0,0.26,0.22,1.34,1.66,0.59,0.41,3.08,60.04,13.22,10.7,1.99,2.48,1.46,7.19,0.73,8.44,0.0,9.96054054054054
755,755,ENMA3B_2019,10.21,10.25,2.56,0.0,9.05,2.11,1.07,4.57,4.57,0.0,0.0,4.68,18.73,0.0,0.45,1.29,1.58,0.39,0.61,2.3,34.91,25.92,21.07,17.06,23.16,9.07,12.54,0.53,8.84,14.09,39.66742857142857
756,756,ENMA3B_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,18.26,0.0,0.28,0.76,0.92,0.38,0.62,1.47,32.69,26.44,21.8,17.05,23.36,8.87,13.63,0.52,8.44,15.47,49.798
770,770,BAUH4_2019,0.62,15.17,5.68,19.89,25.48,2.26,3.36,19.36,7.51,18.16,23.27,5.14,13.74,0.0,0.49,1.73,2.21,0.59,0.41,1.46,25.27,11.37,8.87,14.91,37.43,22.18,9.01,1.49,8.15,23.02,44.455000000000005
771,771,BAUH4_2020,0.89,21.54,5.5,17.52,20.4,2.65,3.39,46.75,5.96,16.65,19.38,4.49,17.59,0.0,0.27,0.87,1.02,0.62,0.38,1.2,23.26,15.1,12.97,12.28,25.52,15.74,19.16,1.28,10.9,33.53,85.29125
772,772,BAUH4_2021,0.0,65.64,4.64,64.61,200.95,2.62,2.84,36.19,4.01,63.07,196.18,1.34,18.92,0.0,0.11,1.54,4.78,0.61,0.39,0.79,18.96,4.05,1.3,3.99,7.07,4.32,0.77,1.08,5.51,1.88,86.72948905109489
773,773,BAUH4_2022,0.0,308.52,4.79,33.58,54.81,2.28,2.88,39.52,4.96,33.31,54.37,0.27,17.5,0.0,0.04,0.27,0.44,0.6,0.4,1.21,22.3,6.79,4.16,0.74,1.55,0.93,1.36,1.26,3.33,0.0,78.34363636363636
774,774,BAUH4_2023,1.48,150.74,4.33,28.54,45.16,1.96,2.62,30.37,4.81,27.07,42.83,0.54,18.93,1.15,0.22,1.47,2.33,0.6,0.4,1.23,21.97,6.87,4.34,1.3,2.87,1.74,2.68,1.33,3.33,0.0,73.91246376811594
786,786,FHER3_2019,0.0,0.3,6.19,1.59,1.27,0.16,0.12,0.76,0.24,2.75,2.2,12.13,0.58,0.0,4.54,1.16,0.93,0.02,0.98,1.51,6.62,10.37,12.94,55.29,0.0,41.34,208.93,0.75,27.63,141.43,2.2338383838383837
787,787,FHER3_2020,0.0,0.8,1.08,0.87,1.03,0.07,0.09,0.65,0.18,2.34,2.76,3.7,2.75,0.0,0.0,1.47,1.73,0.08,1.08,1.35,14.36,8.25,6.99,9.0,134.47,11.0,93.4,1.22,18.89,0.0,2.911285140562249
